,total_score,tylor_score,Corr,iceA_score,iceV_score,RESTOM
workdir.9,17.10166036933435,4.092904529897494,8.466,2.9292203312924365,5.4565355081444205,-4.623
workdir.10,6.575245052795874,2.158503811262865,9.047,1.320764208549981,1.8309770329830288,-1.265
workdir.11,9.878054146267637,2.5183374831650536,8.892999999999999,1.787335891952931,3.231380771149651,-2.341
workdir.12,9.637223709319562,2.96089311408105,8.759,1.8637246101523288,2.8436059850861826,-1.969
workdir.13,8.752320712459502,2.9893929183711214,8.774,1.5717504425796882,1.997177351508692,-2.194
workdir.14,9.834430309691466,2.998885052721483,8.75,1.6719790768037117,2.6445661801662714,-2.519
workdir.15,2.9451210194772575,1.5786315386491137,9.265999999999998,0.5639280327777585,-0.051561448050385185,0.751
workdir.16,8.691175630397451,2.7700920504260913,8.847,1.7642801295589128,2.5438034504124474,-1.613
workdir.17,6.405414104756964,2.3899117849079743,8.97,1.2331445437874253,1.616357776061565,-1.166
workdir.18,8.562543658619285,3.230091347970124,8.721,1.4793616182833746,1.9150906923657849,-1.938
workdir.19,4.379120149103867,2.0619423435078668,9.068,0.9704956805510984,0.9676821250449019,-0.379
workdir.20,17.588862875299196,4.204717556977929,8.382,2.796818998755817,6.109326319565449,-4.478
workdir.21,6.338472146918026,2.7189398266106477,8.855,1.2292849414668447,1.4902473788405333,-0.9
workdir.22,16.15543386044362,3.907852323891094,8.482999999999999,2.7750597586094217,5.463521777943103,-4.009
workdir.23,11.429958473943923,3.421874245954226,8.626,1.9892707443093538,3.1068134836803445,-2.912
workdir.24,12.349769839118272,3.4924241424534617,8.607,2.1119779764023923,3.581367720262418,-3.164
workdir.25,10.094741604486636,3.0557963565711166,8.709999999999999,1.7030858724182543,3.0028593754972643,-2.333
workdir.26,12.44553728300388,3.259699702940824,8.679,2.169543213959986,3.9372943661030693,-3.079
workdir.27,5.4606808580902655,2.0820666927674876,9.073,-0.22357170696680773,-1.62404245835597,1.531
workdir.28,8.09125705226592,2.456046212193897,8.942,1.59944820944388,2.3587626306281435,-1.677
workdir.29,3.9405099317721337,1.5303703639915744,9.286999999999999,0.2340245252131194,-0.9641150425674395,1.212
workdir.30,3.732654202478611,1.6551555217024592,9.236999999999998,0.40612474807922644,-0.6493739326969258,1.022
workdir.31,4.192057519333387,1.734135163644436,9.190999999999999,0.07075439633994435,-0.8951679593490073,1.492
workdir.32,4.856694199058134,1.7658930968218034,9.184000000000001,-0.1241325495930895,-1.548668552643241,1.418
workdir.33,4.899685909910103,1.3650004498302981,9.362000000000002,-0.19150510804563425,-1.50018035203417,1.843
workdir.34,3.6630715067304016,1.89921227074946,9.119,0.3842662917800158,-0.5295929442009257,0.85
workdir.35,6.904405512148479,1.6208552907542826,9.273,-0.6483316841996539,-2.241218537194542,2.394
cntl,5.172890623063147,2.4042066692470954,8.963999999999999,1.0000000018815218,0.9986839519345301,-0.77
