,total_score,tylor_score,Corr,RMSE,RMSE_SST,TS_SST,CORR_SST,iceA_score,iceV_score,RESTOM,Bias_SST
workdir.9,30.01796986135655,24.556394277412863,8.466,16.626969015934293,2.1666666666666665,1.077298603164891,0.987,2.9292203312924365,5.4565355081444205,-4.623,-0.548
workdir.10,14.808650024811945,13.228475900658642,9.047,10.139520257921397,1.1259259259259258,1.036518318446152,0.99,1.320764208549981,1.8309770329830288,-1.265,0.612
workdir.11,16.871078428816894,14.028206762506635,8.892999999999999,11.979543707881856,1.436111111111111,1.0477812188735065,0.987,1.787335891952931,3.231380771149651,-2.341,0.2
workdir.12,18.2498900657691,15.810157006245246,8.759,12.29899388302692,1.2731481481481481,1.0439604004853926,0.989,1.8637246101523288,2.8436059850861826,-1.969,0.435
workdir.13,18.896648896977535,16.345756117568698,8.774,12.03097957549669,1.4083333333333332,1.0483377919861527,0.99,1.5717504425796882,1.997177351508692,-2.194,0.103
workdir.14,19.16998628472456,16.21933175902756,8.75,12.740130558330641,1.4388888888888889,1.0496968316860904,0.988,1.6719790768037117,2.6445661801662714,-2.519,0.18
workdir.15,12.720480595904988,11.907931647822174,9.265999999999998,9.764673076742879,1.1657407407407405,1.0217327553042788,0.992,0.5639280327777585,-0.051561448050385185,0.751,1.526
workdir.16,17.25390148528734,15.210093127290204,8.847,11.9804070564783,1.1388888888888888,1.0368166161954886,0.99,1.7642801295589128,2.5438034504124474,-1.613,0.589
workdir.17,15.55306041582384,14.10211018383894,8.97,10.13829345919486,1.085185185185185,1.0351983147478485,0.99,1.2331445437874253,1.616357776061565,-1.166,0.641
workdir.18,20.465403479713643,18.18795824864873,8.721,12.217515118705212,1.1833333333333333,1.0431305691423414,0.991,1.4793616182833746,1.9150906923657849,-1.938,0.462
workdir.19,13.44182210644549,12.869004325885891,9.068,9.920191136950917,1.0398148148148147,1.0289845324992968,0.991,0.9704956805510984,0.9676821250449019,-0.379,1.046
workdir.20,28.740340998386024,23.371726466553902,8.382,16.945491691438438,2.224074074074074,1.0826302048088239,0.987,2.796818998755817,6.109326319565449,-4.478,-0.619
workdir.21,16.212375577443346,15.040422345412608,8.855,11.043317108625203,1.098148148148148,1.0398496011550706,0.991,1.2292849414668447,1.4902473788405333,-0.9,0.719
workdir.22,26.173069133140572,21.340210979485317,8.482999999999999,15.710713390151795,2.0027777777777773,1.0733470929128288,0.987,2.7750597586094217,5.463521777943103,-4.009,-0.403
workdir.23,21.709282600365057,18.28767417756609,8.626,13.875795701860351,1.587962962962963,1.0571379153847371,0.989,1.9892707443093538,3.1068134836803445,-2.912,-0.013
workdir.24,22.502395484129803,18.76906091446332,8.607,14.173794666358209,1.6462962962962961,1.0560135137671525,0.989,2.1119779764023923,3.581367720262418,-3.164,-0.066
workdir.25,18.628166863454013,15.82457233866246,8.709999999999999,12.898754387023157,1.4675925925925926,1.0536908397137594,0.99,1.7030858724182543,3.0028593754972643,-2.333,0.079
workdir.26,21.48304314588574,17.793359387879434,8.679,13.424983020537345,1.6203703703703702,1.0548660360385034,0.987,2.169543213959986,3.9372943661030693,-3.079,-0.003
workdir.27,14.51067675598979,12.79491533945751,9.073,11.313354067594027,1.3666666666666665,1.0225251218135438,0.992,-0.22357170696680773,-1.62404245835597,1.531,1.783
workdir.28,16.21083731341154,14.138016229404341,8.942,10.85602822031573,1.2203703703703703,1.042371910674315,0.99,1.59944820944388,2.3587626306281435,-1.677,0.453
workdir.29,13.108663895547892,11.776849938769836,9.286999999999999,10.592117459987492,1.3731481481481482,1.021394018883014,0.991,0.2340245252131194,-0.9641150425674395,1.212,1.71
workdir.30,13.14541981051573,12.017869942438114,9.236999999999998,10.216125753139188,1.221296296296296,1.0218057687811946,0.992,0.40612474807922644,-0.6493739326969258,1.022,1.603
workdir.31,13.722419645432645,12.133827409863752,9.190999999999999,10.794260583383751,1.4287037037037036,1.0196203838978137,0.992,0.07075439633994435,-0.8951679593490073,1.492,1.877
workdir.32,13.748582963033385,12.163302852809753,9.184000000000001,11.172677993805882,1.411111111111111,1.0199378664513172,0.992,-0.1241325495930895,-1.548668552643241,1.418,1.879
workdir.33,13.54726180597262,11.535093259964642,9.362000000000002,11.339225961077412,1.4703703703703703,1.0197341184548017,0.992,-0.19150510804563425,-1.50018035203417,1.843,1.843
workdir.34,13.392396722587307,12.451010798989213,9.119,10.559900978058169,1.3129629629629629,1.0223836982734098,0.991,0.3842662917800158,-0.5295929442009257,0.85,1.68
workdir.35,14.582562797508228,11.899607775368807,9.273,12.207606681995465,1.7074074074074073,1.0158598232019378,0.993,-0.6483316841996539,-2.241218537194542,2.394,2.208
workdir.36,13.102023097508052,12.42605055316088,9.151,10.182303763977925,1.125,1.02302398841088,0.992,0.4042853978595051,-0.1754400456122167,0.618,1.391
workdir.37,13.583232445627639,13.158111538405233,9.078,9.740694888285963,0.9768518518518517,1.0266608228335121,0.992,0.8038990400706285,0.16731003215341897,-0.328,1.09
workdir.38,13.923659545030498,11.743965869436902,9.325,11.762598361006432,1.4027777777777777,1.0202547951989456,0.992,-0.37108611983638634,-1.6558506360995704,1.977,1.787
workdir.39,13.89225654097309,12.136805856288321,9.232000000000001,11.024835898858203,1.3842592592592593,1.0191019544292554,0.993,-0.21545862293371015,-1.6690482239139888,1.567,1.795
cntl,14.991705158740233,14.021836763358628,8.963999999999999,10.0,1.0,1.0338783643761207,0.992,1.0000000018815218,0.9986839519345301,-0.77,0.779
